human_geneid,human_EnsemblID,human_Symbol,human_type_of_gene,human_description,mouse_EnsemblID,mouse_geneid,mouse_Symbol
84056,ENSG00000102781,KATNAL1,protein-coding,katanin catalytic subunit A1 like 1,ENSMUSG00000041298,231912,Katnal1
84057,ENSG00000121211,MND1,protein-coding,meiotic nuclear divisions 1,ENSMUSG00000033752,76915,Mnd1
84058,ENSG00000005448,WDR54,protein-coding,WD repeat domain 54,ENSMUSG00000030032,75659,Wdr54
84059,ENSG00000164199,ADGRV1,protein-coding,adhesion G protein-coupled receptor V1,ENSMUSG00000069170,110789,Adgrv1
84060,ENSG00000127993,RBM48,protein-coding,RNA binding motif protein 48,ENSMUSG00000040302,269623,Rbm48
84061,ENSG00000102158,MAGT1,protein-coding,magnesium transporter 1,ENSMUSG00000031232,67075,Magt1
84062,ENSG00000047579,DTNBP1,protein-coding,dystrobrevin binding protein 1,ENSMUSG00000057531,94245,Dtnbp1
84063,ENSG00000126259,KIRREL2,protein-coding,kirre like nephrin family adhesion molecule 2,ENSMUSG00000036915,243911,Kirrel2
84064,ENSG00000167220,HDHD2,protein-coding,haloacid dehalogenase like hydrolase domain containing 2,ENSMUSG00000025421,76987,Hdhd2
84065,ENSG00000186501,TMEM222,protein-coding,transmembrane protein 222,ENSMUSG00000028857,52174,Tmem222
84066,ENSG00000240021,TEX35,protein-coding,testis expressed 35,ENSMUSG00000026592,73435,Tex35
84067,ENSG00000051009,FHIP1B,protein-coding,FHF complex subunit HOOK interacting protein 1B,ENSMUSG00000044465,74349,Fhip1b
84068,ENSG00000120519,SLC10A7,protein-coding,solute carrier family 10 member 7,ENSMUSG00000031684,76775,Slc10a7
84069,ENSG00000187583,PLEKHN1,protein-coding,pleckstrin homology domain containing N1,ENSMUSG00000078485,231002,Plekhn1
84070,ENSG00000135436,FAM186B,protein-coding,family with sequence similarity 186 member B,ENSMUSG00000078907,545136,Fam186b
84071,ENSG00000118690,ARMC2,protein-coding,armadillo repeat containing 2,ENSMUSG00000071324,213402,Armc2
84072,ENSG00000143452,HORMAD1,protein-coding,HORMA domain containing 1,ENSMUSG00000028109,67981,Hormad1
84073,ENSG00000136449,MYCBPAP,protein-coding,MYCBP associated protein,ENSMUSG00000039110,104601,Mycbpap
84074,ENSG00000129646,QRICH2,protein-coding,glutamine rich 2,ENSMUSG00000070331,217341,Qrich2
84075,ENSG00000189139,FSCB,protein-coding,fibrous sheath CABYR binding protein,ENSMUSG00000043060,623046,Fscb
84076,ENSG00000151005,TKTL2,protein-coding,transketolase like 2,ENSMUSG00000025519,74419,Tktl2
84077,ENSG00000131379,C3orf20,protein-coding,chromosome 3 open reading frame 20,ENSMUSG00000034063,381798,4930590J08Rik
84078,ENSG00000120696,KBTBD7,protein-coding,kelch repeat and BTB domain containing 7,ENSMUSG00000043881,211255,Kbtbd7
84079,ENSG00000105186,ANKRD27,protein-coding,ankyrin repeat domain 27,ENSMUSG00000034867,245886,Ankrd27
84080,ENSG00000124074,ENKD1,protein-coding,enkurin domain containing 1,ENSMUSG00000013155,102124,Enkd1
84081,ENSG00000126653,NSRP1,protein-coding,nuclear speckle splicing regulatory protein 1,ENSMUSG00000037958,237859,Nsrp1
84083,ENSG00000121988,ZRANB3,protein-coding,zinc finger RANBP2-type containing 3,ENSMUSG00000036086,226409,Zranb3
84085,ENSG00000118496,FBXO30,protein-coding,F-box protein 30,ENSMUSG00000047648,71865,Fbxo30
84100,ENSG00000113966,ARL6,protein-coding,ADP ribosylation factor like GTPase 6,ENSMUSG00000022722,56297,Arl6
84101,ENSG00000136014,USP44,protein-coding,ubiquitin specific peptidase 44,ENSMUSG00000020020,327799,Usp44
84102,ENSG00000136052,SLC41A2,protein-coding,solute carrier family 41 member 2,ENSMUSG00000034591,338365,Slc41a2
84103,ENSG00000138813,C4orf17,protein-coding,chromosome 4 open reading frame 17,ENSMUSG00000012042,67741,4930579F01Rik
84105,ENSG00000132570,PCBD2,protein-coding,pterin-4 alpha-carbinolamine dehydratase 2,ENSMUSG00000021496,72562,Pcbd2
84106,ENSG00000133246,PRAM1,protein-coding,PML-RARA regulated adaptor molecule 1,ENSMUSG00000032739,378460,Pram1
84107,ENSG00000174963,ZIC4,protein-coding,Zic family member 4,ENSMUSG00000036972,22774,Zic4
84108,ENSG00000156374,PCGF6,protein-coding,polycomb group ring finger 6,ENSMUSG00000025050,71041,Pcgf6
84109,ENSG00000186867,QRFPR,protein-coding,pyroglutamylated RFamide peptide receptor,NA,NA,NA
84124,ENSG00000160908,ZNF394,protein-coding,zinc finger protein 394,ENSMUSG00000029627,67235,Zkscan14
84125,ENSG00000133640,LRRIQ1,protein-coding,leucine rich repeats and IQ motif containing 1,ENSMUSG00000019892,74978,Lrriq1
84126,ENSG00000164053,ATRIP,protein-coding,ATR interacting protein,ENSMUSG00000025646,235610,Atrip
84128,ENSG00000115368,WDR75,protein-coding,WD repeat domain 75,ENSMUSG00000025995,73674,Wdr75
84129,ENSG00000240303,ACAD11,protein-coding,acyl-CoA dehydrogenase family member 11,ENSMUSG00000090150,102632,Acad11
84131,ENSG00000148019,CEP78,protein-coding,centrosomal protein 78,ENSMUSG00000041491,208518,Cep78
84132,ENSG00000106346,USP42,protein-coding,ubiquitin specific peptidase 42,ENSMUSG00000051306,76800,Usp42
84133,ENSG00000183579,ZNRF3,protein-coding,zinc and ring finger 3,ENSMUSG00000041961,407821,Znrf3
84134,ENSG00000158882,TOMM40L,protein-coding,translocase of outer mitochondrial membrane 40 like,ENSMUSG00000005674,641376,Tomm40l
84135,ENSG00000164338,UTP15,protein-coding,UTP15 small subunit processome component,ENSMUSG00000041747,105372,Utp15
84138,ENSG00000103061,SLC7A6OS,protein-coding,solute carrier family 7 member 6 opposite strand,ENSMUSG00000033106,66432,Slc7a6os
84140,ENSG00000170264,FAM161A,protein-coding,FAM161 centrosomal protein A,ENSMUSG00000049811,73873,Fam161a
84141,ENSG00000115363,EVA1A,protein-coding,"eva-1 homolog A, regulator of programmed cell death",ENSMUSG00000035104,232146,Eva1a
84142,ENSG00000163322,ABRAXAS1,protein-coding,"abraxas 1, BRCA1 A complex subunit",ENSMUSG00000035234,70681,Abraxas1
84144,ENSG00000097096,SYDE2,protein-coding,synapse defective Rho GTPase homolog 2,ENSMUSG00000036863,214804,Syde2
84146,ENSG00000122482,ZNF644,protein-coding,zinc finger protein 644,ENSMUSG00000049606,52397,Zfp644
84148,ENSG00000103510,KAT8,protein-coding,lysine acetyltransferase 8,ENSMUSG00000030801,67773,Kat8
84152,ENSG00000131771,PPP1R1B,protein-coding,protein phosphatase 1 regulatory inhibitor subunit 1B,ENSMUSG00000061718,19049,Ppp1r1b
84153,ENSG00000172922,RNASEH2C,protein-coding,ribonuclease H2 subunit C,ENSMUSG00000024925,68209,Rnaseh2c
84154,ENSG00000197498,RPF2,protein-coding,ribosome production factor 2 homolog,ENSMUSG00000038510,67239,Rpf2
84159,ENSG00000150347,ARID5B,protein-coding,AT-rich interaction domain 5B,ENSMUSG00000019947,71371,Arid5b
84162,ENSG00000138688,BLTP1,protein-coding,bridge-like lipid transfer protein family member 1,ENSMUSG00000037270,229227,Bltp1
84163,ENSG00000196275,GTF2IRD2,protein-coding,GTF2I repeat domain containing 2,ENSMUSG00000015942,114674,Gtf2ird2
84164,ENSG00000100325,ASCC2,protein-coding,activating signal cointegrator 1 complex subunit 2,ENSMUSG00000020412,75452,Ascc2
84166,ENSG00000140853,NLRC5,protein-coding,NLR family CARD domain containing 5,ENSMUSG00000074151,434341,Nlrc5
84167,ENSG00000105072,C19orf44,protein-coding,chromosome 19 open reading frame 44,ENSMUSG00000052794,72254,1700030K09Rik
84168,ENSG00000169604,ANTXR1,protein-coding,ANTXR cell adhesion molecule 1,ENSMUSG00000033420,69538,Antxr1
84171,ENSG00000138131,LOXL4,protein-coding,lysyl oxidase like 4,ENSMUSG00000025185,67573,Loxl4
84172,ENSG00000125630,POLR1B,protein-coding,RNA polymerase I subunit B,ENSMUSG00000027395,20017,Polr1b
84173,ENSG00000115459,ELMOD3,protein-coding,ELMO domain containing 3,ENSMUSG00000056698,232089,Elmod3
84174,ENSG00000101082,SLA2,protein-coding,Src like adaptor 2,ENSMUSG00000027636,77799,Sla2
84179,ENSG00000169026,SLC49A3,protein-coding,solute carrier family 49 member 3,ENSMUSG00000029490,243197,Slc49a3
84181,ENSG00000124177,CHD6,protein-coding,chromodomain helicase DNA binding protein 6,ENSMUSG00000057133,71389,Chd6
84182,ENSG00000106125,MINDY4,protein-coding,MINDY lysine 48 deubiquitinase 4,ENSMUSG00000038022,330323,Mindy4
84186,ENSG00000147905,ZCCHC7,protein-coding,zinc finger CCHC-type containing 7,ENSMUSG00000035649,319885,Zcchc7
84187,ENSG00000157600,TMEM164,protein-coding,transmembrane protein 164,ENSMUSG00000047045,209497,Tmem164
84188,ENSG00000197601,FAR1,protein-coding,fatty acyl-CoA reductase 1,ENSMUSG00000030759,67420,Far1
84189,ENSG00000184564,SLITRK6,protein-coding,SLIT and NTRK like family member 6,ENSMUSG00000045871,239250,Slitrk6
84190,ENSG00000127720,METTL25,protein-coding,methyltransferase like 25,ENSMUSG00000036009,216292,Mettl25
84191,ENSG00000166797,CIAO2A,protein-coding,cytosolic iron-sulfur assembly component 2A,ENSMUSG00000032381,68250,Ciao2a
84193,ENSG00000183576,SETD3,protein-coding,"SET domain containing 3, actin N3(tau)-histidine methyltransferase",ENSMUSG00000056770,52690,Setd3
84196,ENSG00000090686,USP48,protein-coding,ubiquitin specific peptidase 48,ENSMUSG00000043411,170707,Usp48
84197,ENSG00000185900,POMK,protein-coding,protein O-mannose kinase,ENSMUSG00000037251,74653,Pomk
84203,ENSG00000168454,TXNDC2,protein-coding,thioredoxin domain containing 2,ENSMUSG00000050612,213272,Txndc2
84206,ENSG00000183496,MEX3B,protein-coding,mex-3 RNA binding family member B,ENSMUSG00000057706,108797,Mex3b
84215,ENSG00000118156,ZNF541,protein-coding,zinc finger protein 541,ENSMUSG00000078796,666528,Zfp541
84216,ENSG00000139173,TMEM117,protein-coding,transmembrane protein 117,ENSMUSG00000063296,320709,Tmem117
84217,ENSG00000066185,ZMYND12,protein-coding,zinc finger MYND-type containing 12,ENSMUSG00000070806,332934,Zmynd12
84219,ENSG00000127580,WDR24,protein-coding,WD repeat domain 24,ENSMUSG00000025737,268933,Wdr24
84221,ENSG00000160284,SPATC1L,protein-coding,spermatogenesis and centriole associated 1 like,ENSMUSG00000009115,76573,Spatc1l
84223,ENSG00000114473,IQCG,protein-coding,IQ motif containing G,ENSMUSG00000035578,69707,Iqcg
84225,ENSG00000141497,ZMYND15,protein-coding,zinc finger MYND-type containing 15,ENSMUSG00000040829,574428,Zmynd15
84226,ENSG00000221843,SPATA31H1,protein-coding,SPATA31 subfamily H member 1,ENSMUSG00000044581,102635990,C10H2orf16
84229,ENSG00000159625,DRC7,protein-coding,dynein regulatory complex subunit 7,ENSMUSG00000031786,330830,Drc7
84230,ENSG00000171488,LRRC8C,protein-coding,leucine rich repeat containing 8 VRAC subunit C,ENSMUSG00000054720,100604,Lrrc8c
84231,ENSG00000131653,TRAF7,protein-coding,TNF receptor associated factor 7,ENSMUSG00000052752,224619,Traf7
84232,ENSG00000179632,MAF1,protein-coding,"MAF1 homolog, negative regulator of RNA polymerase III",ENSMUSG00000022553,68877,Maf1
84233,ENSG00000171202,TMEM126A,protein-coding,transmembrane protein 126A,ENSMUSG00000030615,66271,Tmem126a
84236,ENSG00000144468,RHBDD1,protein-coding,rhomboid domain containing 1,ENSMUSG00000026142,76867,Rhbdd1
84239,ENSG00000127249,ATP13A4,protein-coding,ATPase 13A4,ENSMUSG00000038094,224079,Atp13a4
84240,ENSG00000131732,ZCCHC9,protein-coding,zinc finger CCHC-type containing 9,ENSMUSG00000021621,69085,Zcchc9
84243,ENSG00000204160,ZDHHC18,protein-coding,zinc finger DHHC-type palmitoyltransferase 18,ENSMUSG00000037553,503610,Zdhhc18
84245,ENSG00000037757,MRI1,protein-coding,methylthioribose-1-phosphate isomerase 1,ENSMUSG00000004996,67873,Mri1
84246,ENSG00000133398,MED10,protein-coding,mediator complex subunit 10,ENSMUSG00000021598,28077,Med10
84247,ENSG00000188636,RTL6,protein-coding,retrotransposon Gag like 6,ENSMUSG00000055745,223732,Rtl6
84248,ENSG00000122068,FYTTD1,protein-coding,forty-two-three domain containing 1,ENSMUSG00000022800,69823,Fyttd1
84249,ENSG00000146005,PSD2,protein-coding,pleckstrin and Sec7 domain containing 2,ENSMUSG00000024347,74002,Psd2
84250,ENSG00000133302,SLF1,protein-coding,SMC5-SMC6 complex localization factor 1,ENSMUSG00000021597,105377,Slf1
84251,ENSG00000118473,SGIP1,protein-coding,SH3GL interacting endocytic adaptor 1,ENSMUSG00000028524,73094,Sgip1
84253,ENSG00000136895,GARNL3,protein-coding,GTPase activating Rap/RanGAP domain like 3,ENSMUSG00000038860,99326,Garnl3
84254,ENSG00000004660,CAMKK1,protein-coding,calcium/calmodulin dependent protein kinase kinase 1,ENSMUSG00000020785,55984,Camkk1
84255,ENSG00000157800,SLC37A3,protein-coding,solute carrier family 37 member 3,ENSMUSG00000029924,72144,Slc37a3
84256,ENSG00000059122,FLYWCH1,protein-coding,FLYWCH-type zinc finger 1,ENSMUSG00000040097,224613,Flywch1
84258,ENSG00000213023,SYT3,protein-coding,synaptotagmin 3,ENSMUSG00000030731,20981,Syt3
84259,ENSG00000137692,DCUN1D5,protein-coding,defective in cullin neddylation 1 domain containing 5,ENSMUSG00000032002,76863,Dcun1d5
84260,ENSG00000139437,TCHP,protein-coding,trichoplein keratin filament binding,ENSMUSG00000002486,77832,Tchp
84261,ENSG00000132004,FBXW9,protein-coding,F-box and WD repeat domain containing 9,ENSMUSG00000008167,68628,Fbxw9
84262,ENSG00000157778,PSMG3,protein-coding,proteasome assembly chaperone 3,ENSMUSG00000029551,66506,Psmg3
84263,ENSG00000119471,HSDL2,protein-coding,hydroxysteroid dehydrogenase like 2,ENSMUSG00000028383,72479,Hsdl2
84264,ENSG00000103253,HAGHL,protein-coding,hydroxyacylglutathione hydrolase like,ENSMUSG00000061046,68977,Haghl
84265,ENSG00000121851,POLR3GL,protein-coding,RNA polymerase III subunit GL,ENSMUSG00000028104,69870,Polr3gl
84266,ENSG00000125652,ALKBH7,protein-coding,alkB homolog 7,ENSMUSG00000002661,66400,Alkbh7
84267,ENSG00000165118,QNG1,protein-coding,Q-nucleotide N-glycosylase 1,ENSMUSG00000021550,70153,Qng1
84268,ENSG00000129197,RPAIN,protein-coding,RPA interacting protein,ENSMUSG00000018449,69723,Rpain
84269,ENSG00000125611,CHCHD5,protein-coding,coiled-coil-helix-coiled-coil-helix domain containing 5,ENSMUSG00000037938,66170,Chchd5
84270,ENSG00000165233,CARD19,protein-coding,caspase recruitment domain family member 19,ENSMUSG00000037960,68480,Card19
84271,ENSG00000100227,POLDIP3,protein-coding,DNA polymerase delta interacting protein 3,ENSMUSG00000041815,73826,Poldip3
84272,ENSG00000119820,YIPF4,protein-coding,Yip1 domain family member 4,ENSMUSG00000024072,67864,Yipf4
84273,ENSG00000084092,NOA1,protein-coding,nitric oxide associated 1,ENSMUSG00000036285,56412,Noa1
84274,ENSG00000110871,COQ5,protein-coding,"coenzyme Q5, methyltransferase",ENSMUSG00000041733,52064,Coq5
84275,ENSG00000171612,SLC25A33,protein-coding,solute carrier family 25 member 33,ENSMUSG00000028982,70556,Slc25a33
84276,ENSG00000145029,NICN1,protein-coding,"nicolin 1, tubulin polyglutamylase complex subunit",ENSMUSG00000032606,66257,Nicn1
84277,ENSG00000176410,DNAJC30,protein-coding,DnaJ heat shock protein family (Hsp40) member C30,ENSMUSG00000061118,66114,Dnajc30
84279,ENSG00000135617,PRADC1,protein-coding,protease associated domain containing 1,ENSMUSG00000030008,73327,Pradc1
84280,ENSG00000148925,BTBD10,protein-coding,BTB domain containing 10,ENSMUSG00000038187,68815,Btbd10
84281,ENSG00000187699,C2orf88,protein-coding,chromosome 2 open reading frame 88,ENSMUSG00000043629,67080,1700019D03Rik
84282,ENSG00000181481,RNF135,protein-coding,ring finger protein 135,ENSMUSG00000020707,71956,Rnf135
84283,ENSG00000163472,TMEM79,protein-coding,transmembrane protein 79,ENSMUSG00000001420,71913,Tmem79
84284,ENSG00000135778,NTPCR,protein-coding,"nucleoside-triphosphatase, cancer-related",ENSMUSG00000031851,66566,Ntpcr
84285,ENSG00000175376,EIF1AD,protein-coding,eukaryotic translation initiation factor 1A domain containing,ENSMUSG00000024841,69860,Eif1ad
84286,ENSG00000127419,TMEM175,protein-coding,transmembrane protein 175,ENSMUSG00000013495,72392,Tmem175
84287,ENSG00000171307,ZDHHC16,protein-coding,zinc finger DHHC-type palmitoyltransferase 16,ENSMUSG00000025157,74168,Zdhhc16
84288,ENSG00000203666,EFCAB2,protein-coding,EF-hand calcium binding domain 2,ENSMUSG00000026495,68226,Efcab2
84289,ENSG00000168395,ING5,protein-coding,inhibitor of growth family member 5,ENSMUSG00000026283,66262,Ing5
84290,ENSG00000256812,CAPNS2,protein-coding,calpain small subunit 2,ENSMUSG00000078144,69543,Capns2
84292,ENSG00000123154,WDR83,protein-coding,WD repeat domain 83,ENSMUSG00000005150,67836,Wdr83
84293,ENSG00000122378,PRXL2A,protein-coding,peroxiredoxin like 2A,ENSMUSG00000021792,70564,Prxl2a
84294,ENSG00000147679,UTP23,protein-coding,UTP23 small subunit processome component,ENSMUSG00000022313,78581,Utp23
84295,ENSG00000156531,PHF6,protein-coding,PHD finger protein 6,ENSMUSG00000025626,70998,Phf6
84296,ENSG00000147536,GINS4,protein-coding,GINS complex subunit 4,ENSMUSG00000031546,109145,Gins4
84298,ENSG00000139233,LLPH,protein-coding,"LLP homolog, long-term synaptic facilitation factor",ENSMUSG00000020224,66225,Llph
84299,ENSG00000141741,MIEN1,protein-coding,migration and invasion enhancer 1,ENSMUSG00000002580,103742,Mien1
84300,ENSG00000137288,UQCC2,protein-coding,ubiquinol-cytochrome c reductase complex assembly factor 2,ENSMUSG00000024208,67267,Uqcc2
84301,ENSG00000197312,DDI2,protein-coding,DNA damage inducible 1 homolog 2,ENSMUSG00000078515,68817,Ddi2
84302,ENSG00000165152,PGAP4,protein-coding,post-GPI attachment to proteins GalNAc transferase 4,ENSMUSG00000039611,67063,Pgap4
84303,ENSG00000159685,CHCHD6,protein-coding,coiled-coil-helix-coiled-coil-helix domain containing 6,ENSMUSG00000030086,66098,Chchd6
84304,ENSG00000149761,NUDT22,protein-coding,nudix hydrolase 22,ENSMUSG00000037349,68323,Nudt22
84305,ENSG00000170473,PYM1,protein-coding,"PYM homolog 1, exon junction complex associated factor",ENSMUSG00000064030,78428,Pym1
84306,ENSG00000126249,PDCD2L,protein-coding,programmed cell death 2 like,ENSMUSG00000002635,68079,Pdcd2l
84307,ENSG00000186812,ZNF397,protein-coding,zinc finger protein 397,ENSMUSG00000024276,69256,Zfp397
84309,ENSG00000168101,NUDT16L1,protein-coding,nudix hydrolase 16 like 1,ENSMUSG00000022516,66911,Nudt16l1
84310,ENSG00000146540,C7orf50,protein-coding,chromosome 7 open reading frame 50,ENSMUSG00000053553,73212,3110082I17Rik
84311,ENSG00000278845,MRPL45,protein-coding,mitochondrial ribosomal protein L45,ENSMUSG00000018882,67036,Mrpl45
84312,ENSG00000100916,BRMS1L,protein-coding,BRMS1 like transcriptional repressor,ENSMUSG00000012076,52592,Brms1l
84313,ENSG00000131475,VPS25,protein-coding,vacuolar protein sorting 25 homolog,ENSMUSG00000078656,28084,Vps25
84314,ENSG00000179029,TMEM107,protein-coding,transmembrane protein 107,ENSMUSG00000020895,66910,Tmem107
84315,ENSG00000164077,MON1A,protein-coding,"MON1 homolog A, secretory trafficking associated",ENSMUSG00000032583,72825,Mon1a
84316,ENSG00000183011,NAA38,protein-coding,"N-alpha-acetyltransferase 38, NatC auxiliary subunit",ENSMUSG00000059278,78304,Naa38
84317,ENSG00000136710,CCDC115,protein-coding,coiled-coil domain containing 115,ENSMUSG00000042111,69668,Ccdc115
84318,ENSG00000120647,CCDC77,protein-coding,coiled-coil domain containing 77,ENSMUSG00000030177,67200,Ccdc77
84319,ENSG00000184220,CMSS1,protein-coding,cms1 ribosomal small subunit homolog,ENSMUSG00000022748,66497,Cmss1
84320,ENSG00000230124,ACBD6,protein-coding,acyl-CoA binding domain containing 6,ENSMUSG00000033701,72482,Acbd6
84321,ENSG00000051596,THOC3,protein-coding,THO complex subunit 3,ENSMUSG00000025872,73666,Thoc3
84322,ENSG00000280197,ZBTB7C-AS2,ncRNA,ZBTB7C antisense RNA 2,NA,NA,NA
84324,ENSG00000205323,SARNP,protein-coding,SAP domain containing ribonucleoprotein,ENSMUSG00000078427,66118,Sarnp
84326,ENSG00000130731,METTL26,protein-coding,methyltransferase like 26,ENSMUSG00000025731,68347,Mettl26
84327,ENSG00000132846,ZBED3,protein-coding,zinc finger BED-type containing 3,ENSMUSG00000041995,72114,Zbed3
84328,ENSG00000162441,LZIC,protein-coding,leucine zipper and CTNNBIP1 domain containing,ENSMUSG00000028990,69151,Lzic
84329,ENSG00000122986,HVCN1,protein-coding,hydrogen voltage gated channel 1,ENSMUSG00000064267,74096,Hvcn1
84330,ENSG00000133250,ZNF414,protein-coding,zinc finger protein 414,ENSMUSG00000073423,328801,Zfp414
84331,ENSG00000172366,MCRIP2,protein-coding,MAPK regulated corepressor interacting protein 2,ENSMUSG00000025732,68241,Mcrip2
84332,ENSG00000133665,DYDC2,protein-coding,DPY30 domain containing 2,ENSMUSG00000021791,71200,Dydc2
84333,ENSG00000180628,PCGF5,protein-coding,polycomb group ring finger 5,ENSMUSG00000024805,76073,Pcgf5
84334,ENSG00000256053,COA8,protein-coding,cytochrome c oxidase assembly factor 8,ENSMUSG00000037787,68020,Coa8
84335,ENSG00000204673,AKT1S1,protein-coding,AKT1 substrate 1,ENSMUSG00000011096,67605,Akt1s1
84336,ENSG00000091947,TMEM101,protein-coding,transmembrane protein 101,ENSMUSG00000020921,76547,Tmem101
84337,ENSG00000130165,ELOF1,protein-coding,elongation factor 1,ENSMUSG00000013822,66126,Elof1
84340,ENSG00000164347,GFM2,protein-coding,GTP dependent ribosome recycling factor mitochondrial 2,ENSMUSG00000021666,320806,Gfm2
84342,ENSG00000213380,COG8,protein-coding,component of oligomeric golgi complex 8,ENSMUSG00000031916,97484,Cog8
84343,ENSG00000163755,HPS3,protein-coding,HPS3 biogenesis of lysosomal organelles complex 2 subunit 1,ENSMUSG00000027615,12807,Hps3
84364,ENSG00000149182,ARFGAP2,protein-coding,ADP ribosylation factor GTPase activating protein 2,ENSMUSG00000027255,77038,Arfgap2
84365,ENSG00000155438,NIFK,protein-coding,nucleolar protein interacting with the FHA domain of MKI67,ENSMUSG00000026377,67949,Nifk
84376,ENSG00000168172,HOOK3,protein-coding,hook microtubule tethering protein 3,ENSMUSG00000037234,320191,Hook3
84417,ENSG00000119147,ECRG4,protein-coding,ECRG4 augurin precursor,ENSMUSG00000026051,78896,Ecrg4
84418,ENSG00000120306,CYSTM1,protein-coding,cysteine rich transmembrane module containing 1,ENSMUSG00000046727,66060,Cystm1
84419,ENSG00000166920,C15orf48,protein-coding,chromosome 15 open reading frame 48,ENSMUSG00000033213,433470,AA467197
84432,ENSG00000143125,PROK1,protein-coding,prokineticin 1,ENSMUSG00000070368,246691,Prok1
84433,ENSG00000198286,CARD11,protein-coding,caspase recruitment domain family member 11,ENSMUSG00000036526,108723,Card11
84435,ENSG00000197177,ADGRA1,protein-coding,adhesion G protein-coupled receptor A1,ENSMUSG00000025475,52389,Adgra1
84436,ENSG00000167555,ZNF528,protein-coding,zinc finger protein 528,NA,NA,NA
84437,ENSG00000170903,MSANTD4,protein-coding,Myb/SANT DNA binding domain containing 4 with coiled-coils,ENSMUSG00000041124,78100,Msantd4
84439,ENSG00000182218,HHIPL1,protein-coding,HHIP like 1,ENSMUSG00000021260,214305,Hhipl1
84440,ENSG00000131242,RAB11FIP4,protein-coding,RAB11 family interacting protein 4,ENSMUSG00000017639,268451,Rab11fip4
84441,ENSG00000184384,MAML2,protein-coding,mastermind like transcriptional coactivator 2,ENSMUSG00000031925,270118,Maml2
84443,ENSG00000147234,FRMPD3,protein-coding,FERM and PDZ domain containing 3,ENSMUSG00000042425,245643,Frmpd3
84444,ENSG00000104885,DOT1L,protein-coding,DOT1 like histone lysine methyltransferase,ENSMUSG00000061589,208266,Dot1l
84445,ENSG00000107816,LZTS2,protein-coding,leucine zipper tumor suppressor 2,ENSMUSG00000035342,226154,Lzts2
84446,ENSG00000160469,BRSK1,protein-coding,BR serine/threonine kinase 1,ENSMUSG00000035390,381979,Brsk1
84447,ENSG00000162298,SYVN1,protein-coding,synoviolin 1,ENSMUSG00000024807,74126,Syvn1
84448,ENSG00000163995,ABLIM2,protein-coding,actin binding LIM protein family member 2,ENSMUSG00000029095,231148,Ablim2
84449,ENSG00000160961,ZNF333,protein-coding,zinc finger protein 333,NA,NA,NA
84450,ENSG00000243943,ZNF512,protein-coding,zinc finger protein 512,ENSMUSG00000062761,269639,Zfp512
84451,ENSG00000143674,MAP3K21,protein-coding,mitogen-activated protein kinase kinase kinase 21,ENSMUSG00000031853,234878,Map3k21
84455,ENSG00000203965,EFCAB7,protein-coding,EF-hand calcium binding domain 7,ENSMUSG00000073791,230500,Efcab7
84456,ENSG00000198945,L3MBTL3,protein-coding,L3MBTL histone methyl-lysine binding protein 3,ENSMUSG00000039089,237339,L3mbtl3
84457,ENSG00000165443,PHYHIPL,protein-coding,phytanoyl-CoA 2-hydroxylase interacting protein like,ENSMUSG00000037747,70911,Phyhipl
84458,ENSG00000196233,LCOR,protein-coding,ligand dependent nuclear receptor corepressor,ENSMUSG00000025019,212391,Lcor
84460,ENSG00000166432,ZMAT1,protein-coding,zinc finger matrin-type 1,ENSMUSG00000052676,215693,Zmat1
84461,ENSG00000215041,NEURL4,protein-coding,neuralized E3 ubiquitin protein ligase 4,ENSMUSG00000047284,216860,Neurl4
84464,ENSG00000188827,SLX4,protein-coding,SLX4 structure-specific endonuclease subunit,ENSMUSG00000039738,52864,Slx4
84465,ENSG00000157890,MEGF11,protein-coding,multiple EGF like domains 11,ENSMUSG00000036466,214058,Megf11
84466,ENSG00000145794,MEGF10,protein-coding,multiple EGF like domains 10,ENSMUSG00000024593,70417,Megf10
84467,ENSG00000142449,FBN3,protein-coding,fibrillin 3,NA,NA,NA
84498,ENSG00000112584,FAM120B,protein-coding,family with sequence similarity 120 member B,ENSMUSG00000014763,67544,Fam120b
84501,ENSG00000204991,SPIRE2,protein-coding,spire type actin nucleation factor 2,ENSMUSG00000010154,234857,Spire2
84502,ENSG00000092051,JPH4,protein-coding,junctophilin 4,ENSMUSG00000022208,319984,Jph4
84503,ENSG00000189164,ZNF527,protein-coding,zinc finger protein 527,NA,NA,NA
84504,ENSG00000148826,NKX6-2,protein-coding,NK6 homeobox 2,ENSMUSG00000041309,14912,Nkx6-2
84513,ENSG00000147535,PLPP5,protein-coding,phospholipid phosphatase 5,ENSMUSG00000031570,71910,Plpp5
84514,ENSG00000167925,GHDC,protein-coding,GH3 domain containing,ENSMUSG00000017747,80860,Ghdc
84515,ENSG00000125885,MCM8,protein-coding,minichromosome maintenance 8 homologous recombination repair factor,ENSMUSG00000027353,66634,Mcm8
84516,ENSG00000166847,DCTN5,protein-coding,dynactin subunit 5,ENSMUSG00000030868,59288,Dctn5
84517,ENSG00000184378,ACTRT3,protein-coding,actin related protein T3,ENSMUSG00000037737,76652,Actrt3
84518,ENSG00000105427,CNFN,protein-coding,cornifelin,ENSMUSG00000063651,72383,Cnfn
84519,ENSG00000111644,ACRBP,protein-coding,acrosin binding protein,ENSMUSG00000072770,54137,Acrbp
